time,open,high,low,close,volume
2010-06-01,0.0,0.0,0.0,0.0,0
2010-06-02,0.0,0.0,0.0,0.0,0
2010-06-03,0.0,0.0,0.0,0.0,0
2010-06-07,0.0,0.0,0.0,0.0,0
2010-06-08,0.0,0.0,0.0,0.0,0
2010-06-10,0.0,0.0,0.0,0.0,0
2010-06-14,0.0,0.0,0.0,0.0,0
2010-06-15,0.0,0.0,0.0,0.0,0
2010-06-16,0.0,0.0,0.0,0.0,0
2010-06-17,0.0,0.0,0.0,0.0,0
2010-06-18,0.0,0.0,0.0,0.0,0
2010-06-21,0.0,0.0,0.0,0.0,0
2010-06-22,0.0,0.0,0.0,0.0,0
2010-06-24,0.0,0.0,0.0,0.0,0
2010-06-25,0.0,0.0,0.0,0.0,0
2010-06-28,0.0,0.0,0.0,0.0,0
2010-06-29,0.0,0.0,0.0,0.0,0
2010-06-30,0.0,0.0,0.0,0.0,0
2010-07-01,0.0,0.0,0.0,0.0,0
2010-07-02,0.0,0.0,0.0,0.0,0
2010-07-05,0.0,0.0,0.0,0.0,0
2010-07-06,0.0,0.0,0.0,0.0,0
2010-07-07,0.0,0.0,0.0,0.0,0
2010-07-08,0.0,0.0,0.0,0.0,0
2010-07-09,0.0,0.0,0.0,0.0,0
2010-07-12,0.0,0.0,0.0,0.0,0
2010-07-13,0.0,0.0,0.0,0.0,0
2010-07-14,0.0,0.0,0.0,0.0,0
2010-07-15,0.0,0.0,0.0,0.0,0
2010-07-19,0.0,0.0,0.0,0.0,0
2010-07-20,0.0,0.0,0.0,0.0,0
2010-07-21,0.0,0.0,0.0,0.0,0
2010-07-22,0.0,0.0,0.0,0.0,0
2010-07-23,0.0,0.0,0.0,0.0,0
2010-07-26,0.0,0.0,0.0,0.0,0
2010-07-27,0.0,0.0,0.0,0.0,0
2010-07-28,0.0,0.0,0.0,0.0,0
2010-07-29,0.0,0.0,0.0,0.0,0
2010-07-30,0.0,0.0,0.0,0.0,0
2010-08-02,0.0,0.0,0.0,0.0,0
2010-08-04,0.0,0.0,0.0,0.0,0
2010-08-05,0.0,0.0,0.0,0.0,0
2010-08-06,0.0,0.0,0.0,0.0,0
2010-08-09,0.0,0.0,0.0,0.0,0
2010-08-10,0.0,0.0,0.0,0.0,0
2010-08-11,0.0,0.0,0.0,0.0,0
2010-08-12,0.0,0.0,0.0,0.0,0
2010-08-13,0.0,0.0,0.0,0.0,0
2010-08-16,0.0,0.0,0.0,0.0,0
2010-08-17,0.0,0.0,0.0,0.0,0
2010-08-18,0.0,0.0,0.0,0.0,0
2010-08-19,0.0,0.0,0.0,0.0,0
2010-08-20,0.0,0.0,0.0,0.0,0
2010-08-23,0.0,0.0,0.0,0.0,0
2010-08-25,0.0,0.0,0.0,0.0,0
2010-08-26,0.0,0.0,0.0,0.0,0
2010-08-27,0.0,0.0,0.0,0.0,0
2010-08-30,0.0,0.0,0.0,0.0,0
2010-08-31,0.0,0.0,0.0,0.0,0
2010-09-01,0.0,0.0,0.0,0.0,0
2010-09-06,0.0,0.0,0.0,0.0,0
2010-09-07,0.0,0.0,0.0,0.0,0
2010-09-08,0.0,0.0,0.0,0.0,0
2010-09-09,0.0,0.0,0.0,0.0,0
2010-09-10,0.0,,,,0
2010-09-13,0.0,,,,0
2010-09-14,0.0,,,,0
2010-09-15,0.0,,,,0
2010-09-16,0.0,,,,0
2010-09-17,0.0,,,,0
2010-09-20,0.0,0.0,0.0,0.0,0
2010-09-21,0.0,0.0,0.0,0.0,0
2010-09-22,0.0,0.0,0.0,0.0,0
2010-09-23,0.0,0.0,0.0,0.0,0
2010-09-24,0.0,0.0,0.0,0.0,0
2010-09-27,0.0,0.0,0.0,0.0,0
2010-09-28,0.0,0.0,0.0,0.0,0
2010-09-29,0.0,0.0,0.0,0.0,0
2010-09-30,0.0,0.0,0.0,0.0,0
2010-10-01,0.0,0.0,0.0,0.0,0
2010-10-04,0.0,0.0,0.0,0.0,0
2010-10-05,0.0,0.0,0.0,0.0,0
2010-10-06,0.0,0.0,0.0,0.0,0
2010-10-07,0.0,0.0,0.0,0.0,0
2010-10-08,0.0,0.0,0.0,0.0,0
2010-10-11,0.0,0.0,0.0,0.0,0
2010-10-12,0.0,0.0,0.0,0.0,0
2010-10-13,0.0,0.0,0.0,0.0,0
2010-10-14,0.0,0.0,0.0,0.0,0
2010-10-15,0.0,0.0,0.0,0.0,0
2010-10-18,0.0,0.0,0.0,0.0,0
2010-10-19,0.0,0.0,0.0,0.0,0
2010-10-20,0.0,0.0,0.0,0.0,0
2010-10-21,0.0,0.0,0.0,0.0,0
2010-10-22,0.0,0.0,0.0,0.0,0
2010-10-25,0.0,0.0,0.0,0.0,0
2010-10-26,0.0,0.0,0.0,0.0,0
2010-10-27,0.0,0.0,0.0,0.0,0
2010-10-28,0.0,0.0,0.0,0.0,0
2010-10-29,0.0,0.0,0.0,0.0,0
2010-11-01,0.0,0.0,0.0,0.0,0
2010-11-02,0.0,0.0,0.0,0.0,0
2010-11-03,0.0,0.0,0.0,0.0,0
2010-11-04,0.0,0.0,0.0,0.0,0
2010-11-05,0.0,0.0,0.0,0.0,0
2010-11-08,0.0,0.0,0.0,0.0,0
2010-11-09,0.0,0.0,0.0,0.0,0
2010-11-10,0.0,0.0,0.0,0.0,0
2010-11-11,0.0,0.0,0.0,0.0,0
2010-11-12,0.0,0.0,0.0,0.0,0
2010-11-15,0.0,0.0,0.0,0.0,0
2010-11-16,0.0,0.0,0.0,0.0,0
2010-11-17,0.0,0.0,0.0,0.0,0
2010-11-18,0.0,0.0,0.0,0.0,0
2010-11-19,0.0,0.0,0.0,0.0,0
2010-11-22,0.0,0.0,0.0,0.0,0
2010-11-23,0.0,0.0,0.0,0.0,0
2010-11-24,0.0,0.0,0.0,0.0,0
2010-11-25,0.0,0.0,0.0,0.0,0
2010-11-26,0.0,0.0,0.0,0.0,0
2010-11-29,0.0,0.0,0.0,0.0,0
2010-11-30,0.0,0.0,0.0,0.0,0
2010-12-01,0.0,0.0,0.0,0.0,0
2010-12-02,0.0,0.0,0.0,0.0,0
2010-12-03,0.0,0.0,0.0,0.0,0
2010-12-06,0.0,0.0,0.0,0.0,0
2010-12-07,0.0,0.0,0.0,0.0,0
2010-12-08,0.0,0.0,0.0,0.0,0
2010-12-09,0.0,0.0,0.0,0.0,0
2010-12-10,0.0,0.0,0.0,0.0,0
2010-12-13,0.0,0.0,0.0,0.0,0
2010-12-14,0.0,0.0,0.0,0.0,0
2010-12-15,0.0,0.0,0.0,0.0,0
2010-12-16,0.0,0.0,0.0,0.0,0
2010-12-17,0.0,0.0,0.0,0.0,0
2010-12-20,0.0,0.0,0.0,0.0,0
2010-12-21,0.0,0.0,0.0,0.0,0
2010-12-22,0.0,0.0,0.0,0.0,0
2010-12-23,0.0,0.0,0.0,0.0,0
2010-12-24,0.0,0.0,0.0,0.0,0
2010-12-27,0.0,0.0,0.0,0.0,0
2010-12-28,0.0,0.0,0.0,0.0,0
2010-12-29,0.0,0.0,0.0,0.0,0
2010-12-30,0.0,0.0,0.0,0.0,0
2010-12-31,0.0,0.0,0.0,0.0,0
2011-01-04,0.0,0.0,0.0,0.0,0
2011-01-05,0.0,0.0,0.0,0.0,0
2011-01-06,0.0,0.0,0.0,0.0,0
2011-01-07,0.0,0.0,0.0,0.0,0
2011-01-10,0.0,0.0,0.0,0.0,0
2011-01-11,0.0,0.0,0.0,0.0,0
2011-01-12,0.0,0.0,0.0,0.0,0
2011-01-13,0.0,0.0,0.0,0.0,0
2011-01-14,0.0,0.0,0.0,0.0,0
2011-01-17,0.0,0.0,0.0,0.0,0
2011-01-18,0.0,0.0,0.0,0.0,0
2011-01-19,0.0,0.0,0.0,0.0,0
2011-01-20,0.0,0.0,0.0,0.0,0
2011-01-21,0.0,0.0,0.0,0.0,0
2011-01-24,0.0,0.0,0.0,0.0,0
2011-01-25,0.0,0.0,0.0,0.0,0
2011-01-26,0.0,0.0,0.0,0.0,0
2011-01-27,0.0,0.0,0.0,0.0,0
2011-01-28,0.0,0.0,0.0,0.0,0
2011-02-08,0.0,0.0,0.0,0.0,0
2011-02-09,0.0,0.0,0.0,0.0,0
2011-02-10,0.0,0.0,0.0,0.0,0
2011-02-11,0.0,0.0,0.0,0.0,0
2011-02-14,0.0,0.0,0.0,0.0,0
2011-02-15,0.0,0.0,0.0,0.0,0
2011-02-16,0.0,0.0,0.0,0.0,0
2011-02-17,0.0,0.0,0.0,0.0,0
2011-02-18,0.0,0.0,0.0,0.0,0
2011-02-21,0.0,0.0,0.0,0.0,0
2011-02-22,0.0,0.0,0.0,0.0,0
2011-02-23,0.0,0.0,0.0,0.0,0
2011-02-24,0.0,0.0,0.0,0.0,0
2011-02-25,0.0,0.0,0.0,0.0,0
2011-02-28,0.0,0.0,0.0,0.0,0
2011-03-01,0.0,0.0,0.0,0.0,0
2011-03-02,0.0,0.0,0.0,0.0,0
2011-03-03,0.0,0.0,0.0,0.0,0
2011-03-04,0.0,0.0,0.0,0.0,0
2011-03-07,0.0,0.0,0.0,0.0,0
2011-03-08,0.0,0.0,0.0,0.0,0
2011-03-09,0.0,0.0,0.0,0.0,0
2011-03-10,0.0,0.0,0.0,0.0,0
2011-03-11,0.0,0.0,0.0,0.0,0
2011-03-14,0.0,0.0,0.0,0.0,0
2011-03-15,0.0,0.0,0.0,0.0,0
2011-03-16,0.0,0.0,0.0,0.0,0
2011-03-17,0.0,0.0,0.0,0.0,0
2011-03-18,0.0,0.0,0.0,0.0,0
2011-03-21,0.0,0.0,0.0,0.0,0
2011-03-22,0.0,0.0,0.0,0.0,0
2011-03-23,0.0,0.0,0.0,0.0,0
2011-03-24,0.0,0.0,0.0,0.0,0
2011-03-25,0.0,0.0,0.0,0.0,0
2011-03-28,0.0,0.0,0.0,0.0,0
2011-03-29,0.0,0.0,0.0,0.0,0
2011-03-30,0.0,0.0,0.0,0.0,0
2011-03-31,3.6,3.6,3.6,3.6,100
2011-04-01,3.6,3.6,3.6,3.6,0
2011-04-04,3.6,3.6,3.6,3.6,0
2011-04-05,3.6,3.6,3.6,3.6,0
2011-04-06,3.6,3.6,3.6,3.6,0
2011-04-07,3.6,3.6,3.6,3.6,0
2011-04-08,3.6,3.6,3.6,3.6,0
2011-04-13,3.6,3.6,3.6,3.6,0
2011-04-14,3.6,3.6,3.6,3.6,0
2011-04-15,3.6,3.6,3.6,3.6,0
2011-04-18,3.6,3.6,3.6,3.6,0
2011-04-19,3.6,3.6,3.6,3.6,0
2011-04-20,3.6,3.6,3.6,3.6,0
2011-04-21,3.6,3.6,3.6,3.6,0
2011-04-22,3.6,3.6,3.6,3.6,0
2011-04-25,3.6,3.6,3.6,3.6,0
2011-04-26,3.6,3.6,3.6,3.6,0
2011-04-27,3.6,3.6,3.6,3.6,0
2011-04-28,3.6,3.6,3.6,3.6,0
2011-04-29,3.6,3.6,3.6,3.6,0
2011-05-04,3.6,3.6,3.6,3.6,0
2011-05-05,3.6,3.6,3.6,3.6,0
2011-05-06,3.6,3.6,3.6,3.6,0
2011-05-09,3.6,3.6,3.6,3.6,0
2011-05-10,3.6,3.6,3.6,3.6,0
2011-05-11,3.6,3.6,3.6,3.6,0
2011-05-12,3.6,3.6,3.6,3.6,0
2011-05-13,3.6,3.6,3.6,3.6,0
2011-05-16,3.6,3.6,3.6,3.6,0
2011-05-17,3.6,3.6,3.6,3.6,0
2011-05-18,3.6,3.6,3.6,3.6,0
2011-05-19,3.6,3.6,3.6,3.6,0
2011-05-20,3.6,3.6,3.6,3.6,0
2011-05-23,3.6,3.6,3.6,3.6,0
2011-05-24,3.6,3.6,3.6,3.6,0
2011-05-25,3.6,3.6,3.6,3.6,0
2011-05-26,3.6,3.6,3.6,3.6,0
2011-05-27,3.6,3.6,3.6,3.6,0
2011-05-30,3.6,3.6,3.6,3.6,0
2011-05-31,3.6,3.6,3.6,3.6,0
2011-06-01,3.6,3.6,3.6,3.6,0
2011-06-02,3.6,3.6,3.6,3.6,0
2011-06-03,3.6,3.6,3.6,3.6,0
2011-06-06,3.6,3.6,3.6,3.6,0
2011-06-07,3.6,3.6,3.6,3.6,0
2011-06-08,3.6,3.6,3.6,3.6,0
2011-06-09,3.6,3.6,3.6,3.6,0
2011-06-10,3.6,3.6,3.6,3.6,0
2011-06-13,3.6,3.6,3.6,3.6,0
2011-06-14,3.6,3.6,3.6,3.6,0
2011-06-15,3.6,3.6,3.6,3.6,0
2011-06-16,3.6,3.6,3.6,3.6,0
2011-06-17,3.6,3.6,3.6,3.6,0
2011-06-20,3.6,3.6,3.6,3.6,0
2011-06-21,3.6,3.6,3.6,3.6,0
2011-06-22,3.6,3.6,3.6,3.6,0
2011-06-23,3.6,3.6,3.6,3.6,0
2011-06-24,3.6,3.6,3.6,3.6,0
2011-06-27,3.6,3.6,3.6,3.6,0
2011-06-28,3.6,3.6,3.6,3.6,0
2011-06-29,3.6,3.6,3.6,3.6,0
2011-06-30,3.6,3.6,3.6,3.6,0
2011-07-01,3.6,3.6,3.6,3.6,0
2011-07-04,3.6,3.6,3.6,3.6,0
2011-07-05,3.6,3.6,3.6,3.6,0
2011-07-06,3.6,3.6,3.6,3.6,0
2011-07-07,3.6,3.6,3.6,3.6,0
2011-07-08,3.6,3.6,3.6,3.6,0
2011-07-11,3.6,3.6,3.6,3.6,0
2011-07-12,3.6,3.6,3.6,3.6,0
2011-07-13,3.6,3.6,3.6,3.6,0
2011-07-14,3.6,3.6,3.6,3.6,0
2011-07-15,3.6,3.6,3.6,3.6,0
2011-07-18,3.6,3.6,3.6,3.6,0
2011-07-19,3.6,3.6,3.6,3.6,0
2011-07-20,3.6,3.6,3.6,3.6,0
2011-07-21,3.6,3.6,3.6,3.6,0
2011-07-22,3.6,3.6,3.6,3.6,0
